Deal name,Pipeline,Deal stage,Amount,Close date,Associated Company,Associated Company Domain,Description
Altoura Branding + Website,Sales Pipeline,Closed Won,5400,,Altoura,altoura.ai,Full branding and website build for Altoura.
Miznier Website Phase 3,Sales Pipeline,Closed Won,4110,,Miznier,miznier.com,Third phase of Miznier website project.
Ferrara Diamonds,Sales Pipeline,Closed Won,4000,,Ferrara Diamonds,ferraradiamonds.com,Branding and web project for Ferrara Diamonds.
Miznier Packaging Phase 2,Sales Pipeline,Closed Won,3100,,Miznier,miznier.com,Second phase of Miznier packaging project.
Sword & Trowel Brand System,Sales Pipeline,Engaged,3500,,Sword & Trowel,,Logo rebuild and full brand system. Next step: send brand system proposal.
Uluwatu Property Ads,Sales Pipeline,Closed Won,2800,,Uluwatu Property,uluwatuproperty.com,Performance ads campaign for Uluwatu Property.
Braun Dental Clinic Ads,Sales Pipeline,Closed Won,2500,,Braun Dental Clinic,,Google/Meta ads client via Stripe.
TAM To Target SEO,Sales Pipeline,Closed Won,2500,,TAM to Target,tamtotarget.com,SEO retainer for TAM To Target.
SimKit,Sales Pipeline,Closed Won,2500,,SimKit,simkit.co,Marketing project for SimKit.
Sukoon Social Retainer,Sales Pipeline,Closed Lost,2200,,Sukoon Agricultural Service,,Bilingual social media retainer for Sukoon (Daleel UAE plant account). Lost.
Nomads Haus Retainer,Sales Pipeline,Closed Won,2400,,Nomads Haus,nomadshaus.com,Monthly retainer for Nomads Haus.
Clemens Kirner / Greatday,Sales Pipeline,Closed Won,2000,,Greatday,greatday.my,Marketing project for Greatday via Clemens Kirner.
Nudge Brand & UI/UX,Sales Pipeline,Closed Won,1750,,Nudge,,Full brand identity and UI/UX design. Constellation-based identity system.
KeepBlue Ads,Sales Pipeline,Closed Won,1500,,KeepBlue,,Performance ads via Upwork and Stripe.
Sell My Phone,Sales Pipeline,Closed Won,1500,,Sell My Phone,,Small ads project via Upwork.
Winespies,Sales Pipeline,Engaged,1500,,Winespies,,Active deal — outreach ongoing.
Sam Billings,Sales Pipeline,Closed Lost,1200,,Peak PPC,peakppc.net,Lost deal.
Nero Digital Design Noble Retainer,Sales Pipeline,Closed Won,450,,Nero Digital Design,nerodigitaldesign.com,Monthly retainer via Noble partnership.
Michael James Brand & Website,Sales Pipeline,Contract Sent,8100,,Michael James,,Repositioning programme — brand strategy and dual-market website build. Next step: send scope recap and push for signature.
Tipsy Putt Website,Sales Pipeline,Closed Won,,,Tipsy Putt,,Website build — billed in three installments via Stripe.
